,Security,Bullish Occurences,Bullish Percentages,Bearish Occurences,Bearish Percentages,Total,Naive Sentiment Prediction
220,OSTK,20.0,0.9523809523809523,1.0,0.047619047619047616,21.0,Bullish
166,LCA,19.0,0.9047619047619048,2.0,0.09523809523809523,21.0,Bullish
63,PYPL,18.0,0.9,2.0,0.1,20.0,Bullish
228,SPXU,1.0,0.05,19.0,0.95,20.0,Bearish
123,LUV,19.0,0.95,1.0,0.05,20.0,Bullish
212,UUP,11.0,0.55,9.0,0.45,20.0,Unpredictable
339,HD,15.0,0.7894736842105263,4.0,0.21052631578947367,19.0,Unpredictable
69,ITB,19.0,1.0,0.0,0.0,19.0,Unpredictable
8,PM,18.0,1.0,0.0,0.0,18.0,Unpredictable
157,SHLL,16.0,0.8888888888888888,2.0,0.1111111111111111,18.0,Unpredictable
348,RIOT,17.0,0.9444444444444444,1.0,0.05555555555555555,18.0,Unpredictable
224,PEP,18.0,1.0,0.0,0.0,18.0,Unpredictable
52,REGN,17.0,1.0,0.0,0.0,17.0,Unpredictable
151,NBRV,15.0,0.8823529411764706,2.0,0.11764705882352941,17.0,Unpredictable
82,KSS,17.0,1.0,0.0,0.0,17.0,Unpredictable
403,GOL,17.0,1.0,0.0,0.0,17.0,Unpredictable
173,EBAY,11.0,0.6875,5.0,0.3125,16.0,Unpredictable
391,TVIX,7.0,0.4375,9.0,0.5625,16.0,Unpredictable
380,CEMI,15.0,0.9375,1.0,0.0625,16.0,Unpredictable
86,SOLO,14.0,0.875,2.0,0.125,16.0,Unpredictable
187,IBM,14.0,0.875,2.0,0.125,16.0,Unpredictable
221,XOM,12.0,0.75,4.0,0.25,16.0,Unpredictable
46,FMCI,16.0,1.0,0.0,0.0,16.0,Unpredictable
334,CZR,16.0,1.0,0.0,0.0,16.0,Unpredictable
80,LVGO,16.0,1.0,0.0,0.0,16.0,Unpredictable
99,COST,16.0,1.0,0.0,0.0,16.0,Unpredictable
677,GBTC,16.0,1.0,0.0,0.0,16.0,Unpredictable
75,CLSK,16.0,1.0,0.0,0.0,16.0,Unpredictable
461,CMG,11.0,0.6875,5.0,0.3125,16.0,Unpredictable
449,IFRX,15.0,1.0,0.0,0.0,15.0,Unpredictable
455,GM,10.0,0.6666666666666666,5.0,0.3333333333333333,15.0,Unpredictable
882,CVNA,3.0,0.2,12.0,0.8,15.0,Unpredictable
195,PENN,12.0,0.8,3.0,0.2,15.0,Unpredictable
103,JETS,14.0,0.9333333333333333,1.0,0.06666666666666667,15.0,Unpredictable
205,XBI,11.0,0.7333333333333333,4.0,0.26666666666666666,15.0,Unpredictable
984,EYEN,15.0,1.0,0.0,0.0,15.0,Unpredictable
404,AZUL,15.0,1.0,0.0,0.0,15.0,Unpredictable
320,VXRT,13.0,0.9285714285714286,1.0,0.07142857142857142,14.0,Unpredictable
638,PDT,14.0,1.0,0.0,0.0,14.0,Unpredictable
270,RUTX,13.0,0.9285714285714286,1.0,0.07142857142857142,14.0,Unpredictable
541,OPK,14.0,1.0,0.0,0.0,14.0,Unpredictable
216,YOLO,14.0,1.0,0.0,0.0,14.0,Unpredictable
61,CSCO,13.0,0.9285714285714286,1.0,0.07142857142857142,14.0,Unpredictable
379,HTBX,14.0,1.0,0.0,0.0,14.0,Unpredictable
662,OCGN,14.0,1.0,0.0,0.0,14.0,Unpredictable
22,DOW,11.0,0.8461538461538461,2.0,0.15384615384615385,13.0,Unpredictable
579,AQST,13.0,1.0,0.0,0.0,13.0,Unpredictable
97,JMIA,12.0,0.9230769230769231,1.0,0.07692307692307693,13.0,Unpredictable
268,NDAQ,13.0,1.0,0.0,0.0,13.0,Unpredictable
277,ES,9.0,0.6923076923076923,4.0,0.3076923076923077,13.0,Unpredictable
466,CHAD,13.0,1.0,0.0,0.0,13.0,Unpredictable
276,XLE,12.0,0.9230769230769231,1.0,0.07692307692307693,13.0,Unpredictable
274,NKE,3.0,0.23076923076923078,10.0,0.7692307692307693,13.0,Unpredictable
141,SPOT,11.0,0.8461538461538461,2.0,0.15384615384615385,13.0,Unpredictable
389,WTI,4.0,0.3333333333333333,8.0,0.6666666666666666,12.0,Unpredictable
546,NAK,11.0,0.9166666666666666,1.0,0.08333333333333333,12.0,Unpredictable
20,GOLD,10.0,0.8333333333333334,2.0,0.16666666666666666,12.0,Unpredictable
7,KERN,10.0,0.8333333333333334,2.0,0.16666666666666666,12.0,Unpredictable
29,AIM,12.0,1.0,0.0,0.0,12.0,Unpredictable
607,ABUS,12.0,1.0,0.0,0.0,12.0,Unpredictable
186,TOPS,12.0,1.0,0.0,0.0,12.0,Unpredictable
375,CODX,12.0,1.0,0.0,0.0,12.0,Unpredictable
85,ALT,12.0,1.0,0.0,0.0,12.0,Unpredictable
401,APPL,10.0,0.8333333333333334,2.0,0.16666666666666666,12.0,Unpredictable
408,HMHC,12.0,1.0,0.0,0.0,12.0,Unpredictable
396,UPS,9.0,0.75,3.0,0.25,12.0,Unpredictable
133,SOXX,12.0,1.0,0.0,0.0,12.0,Unpredictable
92,WYNN,10.0,0.8333333333333334,2.0,0.16666666666666666,12.0,Unpredictable
820,TRVN,11.0,1.0,0.0,0.0,11.0,Unpredictable
232,KTOV,11.0,1.0,0.0,0.0,11.0,Unpredictable
168,NUGT,7.0,0.6363636363636364,4.0,0.36363636363636365,11.0,Unpredictable
857,ZNGA,11.0,1.0,0.0,0.0,11.0,Unpredictable
170,FDX,10.0,0.9090909090909091,1.0,0.09090909090909091,11.0,Unpredictable
215,MJ,11.0,1.0,0.0,0.0,11.0,Unpredictable
281,M,6.0,0.5454545454545454,5.0,0.45454545454545453,11.0,Unpredictable
284,SHIP,11.0,1.0,0.0,0.0,11.0,Unpredictable
429,OAS,11.0,1.0,0.0,0.0,11.0,Unpredictable
425,TWLO,7.0,0.6363636363636364,4.0,0.36363636363636365,11.0,Unpredictable
490,NOVN,11.0,1.0,0.0,0.0,11.0,Unpredictable
438,ADBE,9.0,0.8181818181818182,2.0,0.18181818181818182,11.0,Unpredictable
514,LQD,10.0,1.0,0.0,0.0,10.0,Unpredictable
246,CIT,10.0,1.0,0.0,0.0,10.0,Unpredictable
318,MO,9.0,0.9,1.0,0.1,10.0,Unpredictable
143,CVX,8.0,0.8,2.0,0.2,10.0,Unpredictable
62,T,9.0,0.9,1.0,0.1,10.0,Unpredictable
315,BNGO,10.0,1.0,0.0,0.0,10.0,Unpredictable
436,DPZ,10.0,1.0,0.0,0.0,10.0,Unpredictable
393,DBX,9.0,0.9,1.0,0.1,10.0,Unpredictable
54,UAVS,9.0,1.0,0.0,0.0,9.0,Unpredictable
271,FRAN,9.0,1.0,0.0,0.0,9.0,Unpredictable
66,KO,9.0,1.0,0.0,0.0,9.0,Unpredictable
471,AG,8.0,0.8888888888888888,1.0,0.1111111111111111,9.0,Unpredictable
540,PCG,5.0,0.5555555555555556,4.0,0.4444444444444444,9.0,Unpredictable
356,HTZ,7.0,0.7777777777777778,2.0,0.2222222222222222,9.0,Unpredictable
37,FED,9.0,1.0,0.0,0.0,9.0,Unpredictable
635,EHTH,7.0,0.7777777777777778,2.0,0.2222222222222222,9.0,Unpredictable
758,DOCU,8.0,0.8888888888888888,1.0,0.1111111111111111,9.0,Unpredictable
238,OPGN,9.0,1.0,0.0,0.0,9.0,Unpredictable
237,TGT,9.0,1.0,0.0,0.0,9.0,Unpredictable
372,MVIS,9.0,1.0,0.0,0.0,9.0,Unpredictable
753,TTWO,9.0,1.0,0.0,0.0,9.0,Unpredictable
18,MDCA,9.0,1.0,0.0,0.0,9.0,Unpredictable
251,MS,8.0,0.8888888888888888,1.0,0.1111111111111111,9.0,Unpredictable
161,NET,8.0,0.8888888888888888,1.0,0.1111111111111111,9.0,Unpredictable
104,DFEN,8.0,0.8888888888888888,1.0,0.1111111111111111,9.0,Unpredictable
698,EMX,9.0,1.0,0.0,0.0,9.0,Unpredictable
710,BLDR,9.0,1.0,0.0,0.0,9.0,Unpredictable
804,TDOC,8.0,0.8888888888888888,1.0,0.1111111111111111,9.0,Unpredictable
218,ACB,9.0,1.0,0.0,0.0,9.0,Unpredictable
603,VTI,2.0,0.2222222222222222,7.0,0.7777777777777778,9.0,Unpredictable
