,Word,Bullish Occurences,Bullish Percentages,Bearish Occurences,Bearish Percentages,Total,Naive Sentiment Prediction
243,would,466.0,0.5271493212669683,418.0,0.47285067873303166,884.0,Unpredictable
365,well,557.0,0.6380297823596792,316.0,0.3619702176403207,873.0,Unpredictable
72,discord,863.0,0.9953863898500577,4.0,0.00461361014994233,867.0,Bullish
775,low,386.0,0.44727694090382386,477.0,0.5527230590961761,863.0,Unpredictable
847,red,309.0,0.3605600933488915,548.0,0.6394399066511085,857.0,Unpredictable
227,another,617.0,0.7216374269005847,238.0,0.2783625730994152,855.0,Unpredictable
165,want,526.0,0.6210153482880756,321.0,0.3789846517119244,847.0,Unpredictable
80,keep,454.0,0.5366430260047281,392.0,0.46335697399527187,846.0,Unpredictable
47,start,481.0,0.5726190476190476,359.0,0.42738095238095236,840.0,Unpredictable
124,break,491.0,0.5859188544152745,347.0,0.41408114558472553,838.0,Unpredictable
258,price,475.0,0.5675029868578255,362.0,0.4324970131421744,837.0,Unpredictable
29,hold,487.0,0.5832335329341317,348.0,0.4167664670658683,835.0,Unpredictable
600,even,430.0,0.5205811138014528,396.0,0.4794188861985472,826.0,Unpredictable
55,future,433.0,0.5286935286935287,386.0,0.4713064713064713,819.0,Unpredictable
160,na,464.0,0.5693251533742332,351.0,0.4306748466257669,815.0,Unpredictable
156,year,444.0,0.5591939546599496,350.0,0.44080604534005036,794.0,Unpredictable
167,profit,574.0,0.7464239271781534,195.0,0.2535760728218466,769.0,Unpredictable
446,vaccine,475.0,0.6209150326797386,290.0,0.3790849673202614,765.0,Unpredictable
594,month,428.0,0.5699067909454061,323.0,0.43009320905459386,751.0,Unpredictable
326,run,469.0,0.6312247644683715,274.0,0.36877523553162855,743.0,Unpredictable
71,option,643.0,0.8724559023066486,94.0,0.12754409769335143,737.0,Bullish
159,gon,418.0,0.5679347826086957,318.0,0.4320652173913043,736.0,Unpredictable
112,tech,352.0,0.4782608695652174,384.0,0.5217391304347826,736.0,Unpredictable
826,drop,245.0,0.33424283765347884,488.0,0.6657571623465212,733.0,Unpredictable
546,stimulus,390.0,0.5394190871369294,333.0,0.4605809128630705,723.0,Unpredictable
523,bad,298.0,0.4197183098591549,412.0,0.5802816901408451,710.0,Unpredictable
850,way,381.0,0.5497835497835498,312.0,0.45021645021645024,693.0,Unpredictable
480,monday,415.0,0.6058394160583942,270.0,0.39416058394160586,685.0,Unpredictable
445,covid,349.0,0.5147492625368731,329.0,0.48525073746312686,678.0,Unpredictable
381,move,454.0,0.6755952380952381,218.0,0.3244047619047619,672.0,Unpredictable
341,end,329.0,0.4984848484848485,331.0,0.5015151515151515,660.0,Unpredictable
169,hour,491.0,0.749618320610687,164.0,0.250381679389313,655.0,Unpredictable
704,earnings,316.0,0.49144634525660963,327.0,0.5085536547433903,643.0,Unpredictable
123,wait,316.0,0.49842271293375395,318.0,0.501577287066246,634.0,Unpredictable
715,much,334.0,0.5301587301587302,296.0,0.46984126984126984,630.0,Unpredictable
345,could,331.0,0.5279106858054227,296.0,0.47208931419457734,627.0,Unpredictable
