,User,Bullish Occurences,Bullish Percentages,Bearish Occurences,Bearish Percentages,Total,Naive Sentiment Prediction
2266,LaurenMurrell,2.0,0.031746031746031744,61.0,0.9682539682539683,63.0,Bearish
137,AnywayBull,63.0,1.0,0.0,0.0,63.0,Bullish
33,DaddyYugi,63.0,1.0,0.0,0.0,63.0,Bullish
109,Kobe24,33.0,0.5238095238095238,30.0,0.47619047619047616,63.0,Unpredictable
4221,Mustang_70W,0.0,0.0,62.0,1.0,62.0,Bearish
122,Veritas28,25.0,0.4032258064516129,37.0,0.5967741935483871,62.0,Unpredictable
2090,kramus,2.0,0.03278688524590164,59.0,0.9672131147540983,61.0,Bearish
292,Roke77,7.0,0.11666666666666667,53.0,0.8833333333333333,60.0,Bearish
69,US_Bull,59.0,1.0,0.0,0.0,59.0,Bullish
1471,MAC447,48.0,0.8135593220338984,11.0,0.1864406779661017,59.0,Bullish
4573,Howie_Silverman,0.0,0.0,58.0,1.0,58.0,Bearish
173,2wired2trade,58.0,1.0,0.0,0.0,58.0,Bullish
673,OptimisTrader,41.0,0.7068965517241379,17.0,0.29310344827586204,58.0,Unpredictable
644,BigDreams2020,42.0,0.7368421052631579,15.0,0.2631578947368421,57.0,Unpredictable
420,StockTrend,3.0,0.05263157894736842,54.0,0.9473684210526315,57.0,Bearish
94,MouseintheHouse,51.0,0.8947368421052632,6.0,0.10526315789473684,57.0,Bullish
20,welldonesir12,56.0,1.0,0.0,0.0,56.0,Bullish
552,WallStJudas,43.0,0.7678571428571429,13.0,0.23214285714285715,56.0,Unpredictable
100,aleXia24,56.0,1.0,0.0,0.0,56.0,Bullish
1411,SmallCapValueTrading,6.0,0.10909090909090909,49.0,0.8909090909090909,55.0,Bearish
388,Jedi_Tradz,53.0,0.9636363636363636,2.0,0.03636363636363636,55.0,Bullish
763,DMN8TR6T9,55.0,1.0,0.0,0.0,55.0,Bullish
156,StackingDollaz,51.0,0.9622641509433962,2.0,0.03773584905660377,53.0,Bullish
1468,MartyBallsss,41.0,0.7884615384615384,11.0,0.21153846153846154,52.0,Unpredictable
534,CaptainPicard,50.0,0.9803921568627451,1.0,0.0196078431372549,51.0,Bullish
4259,heaven_or_hell,0.0,0.0,51.0,1.0,51.0,Bearish
1016,ShockinAwe,8.0,0.1568627450980392,43.0,0.8431372549019608,51.0,Bearish
3735,BearSqueezePatrol,51.0,1.0,0.0,0.0,51.0,Bullish
105,STITypeRA,51.0,1.0,0.0,0.0,51.0,Bullish
333,Keepinitreal11,50.0,0.9803921568627451,1.0,0.0196078431372549,51.0,Bullish
