,Security,Bullish Occurences,Bullish Percentages,Bearish Occurences,Bearish Percentages,Total,Naive Sentiment Prediction
245,$LCA,10.0,1.0,0.0,0.0,10.0,Unpredictable
510,$BNGO,9.0,1.0,0.0,0.0,9.0,Unpredictable
182,$2,7.0,0.7777777777777778,2.0,0.2222222222222222,9.0,Unpredictable
702,$HMHC,9.0,1.0,0.0,0.0,9.0,Unpredictable
700,$324,6.0,0.6666666666666666,3.0,0.3333333333333333,9.0,Unpredictable
167,$LUV,8.0,0.8888888888888888,1.0,0.1111111111111111,9.0,Unpredictable
651,$WTI,4.0,0.4444444444444444,5.0,0.5555555555555556,9.0,Unpredictable
790,$GM,6.0,0.6666666666666666,3.0,0.3333333333333333,9.0,Unpredictable
656,$TVIX,5.0,0.5555555555555556,4.0,0.4444444444444444,9.0,Unpredictable
92,$ITB,9.0,1.0,0.0,0.0,9.0,Unpredictable
52,$340,7.0,0.7777777777777778,2.0,0.2222222222222222,9.0,Unpredictable
1112,$FE,9.0,1.0,0.0,0.0,9.0,Unpredictable
123,$WYNN,8.0,0.8888888888888888,1.0,0.1111111111111111,9.0,Unpredictable
449,$CMG,6.0,0.6666666666666666,3.0,0.3333333333333333,9.0,Unpredictable
391,$250,4.0,0.4444444444444444,5.0,0.5555555555555556,9.0,Unpredictable
467,$M,4.0,0.4444444444444444,5.0,0.5555555555555556,9.0,Unpredictable
250,$FDX,8.0,1.0,0.0,0.0,8.0,Unpredictable
102,$CLSK,8.0,1.0,0.0,0.0,8.0,Unpredictable
579,$5,4.0,0.5,4.0,0.5,8.0,Unpredictable
141,$ERI,8.0,1.0,0.0,0.0,8.0,Unpredictable
759,$ADBE,8.0,1.0,0.0,0.0,8.0,Unpredictable
206,$1000,4.0,0.5,4.0,0.5,8.0,Unpredictable
336,$60,8.0,1.0,0.0,0.0,8.0,Unpredictable
241,$BYND,7.0,0.875,1.0,0.125,8.0,Unpredictable
133,$350,7.0,0.875,1.0,0.125,8.0,Unpredictable
72,$UAVS,8.0,1.0,0.0,0.0,8.0,Unpredictable
412,$321,6.0,0.75,2.0,0.25,8.0,Unpredictable
636,$HTBX,8.0,1.0,0.0,0.0,8.0,Unpredictable
462,$ES,8.0,1.0,0.0,0.0,8.0,Unpredictable
471,$SHIP,8.0,1.0,0.0,0.0,8.0,Unpredictable
57,$ND_F,7.0,0.875,1.0,0.125,8.0,Unpredictable
473,$40k,8.0,1.0,0.0,0.0,8.0,Unpredictable
406,$319,3.0,0.375,5.0,0.625,8.0,Unpredictable
279,$TOPS,8.0,1.0,0.0,0.0,8.0,Unpredictable
67,$REGN,8.0,1.0,0.0,0.0,8.0,Unpredictable
650,$UBER,3.0,0.375,5.0,0.625,8.0,Unpredictable
324,$500,6.0,0.8571428571428571,1.0,0.14285714285714285,7.0,Unpredictable
1233,$ABUS,7.0,1.0,0.0,0.0,7.0,Unpredictable
388,$BLK,6.0,0.8571428571428571,1.0,0.14285714285714285,7.0,Unpredictable
111,$BBBY,5.0,0.7142857142857143,2.0,0.2857142857142857,7.0,Unpredictable
337,$XBI,4.0,0.5714285714285714,3.0,0.42857142857142855,7.0,Unpredictable
783,$SSNLF,7.0,1.0,0.0,0.0,7.0,Unpredictable
734,$GENE,7.0,1.0,0.0,0.0,7.0,Unpredictable
420,$MS,7.0,1.0,0.0,0.0,7.0,Unpredictable
459,$NKE,3.0,0.42857142857142855,4.0,0.5714285714285714,7.0,Unpredictable
36,$DADA,7.0,1.0,0.0,0.0,7.0,Unpredictable
197,$20,4.0,0.5714285714285714,3.0,0.42857142857142855,7.0,Unpredictable
782,$DGLY,7.0,1.0,0.0,0.0,7.0,Unpredictable
73,$BGFV,7.0,1.0,0.0,0.0,7.0,Unpredictable
423,$STUDY,7.0,1.0,0.0,0.0,7.0,Unpredictable
