,Word,Bullish Occurences,Bullish Percentages,Bearish Occurences,Bearish Percentages,Total,Naive Sentiment Prediction
279,rip,179.0,0.7217741935483871,69.0,0.2782258064516129,248.0,Unpredictable
320,lose,128.0,0.5182186234817814,119.0,0.4817813765182186,247.0,Unpredictable
1039,fuck,109.0,0.4448979591836735,136.0,0.5551020408163265,245.0,Unpredictable
676,case,80.0,0.32786885245901637,164.0,0.6721311475409836,244.0,Unpredictable
854,chart,158.0,0.6528925619834711,84.0,0.34710743801652894,242.0,Unpredictable
181,check,189.0,0.8042553191489362,46.0,0.19574468085106383,235.0,Bullish
605,gap,155.0,0.6623931623931624,79.0,0.33760683760683763,234.0,Unpredictable
544,expect,116.0,0.5021645021645021,115.0,0.49783549783549785,231.0,Unpredictable
49,fed,88.0,0.3893805309734513,138.0,0.6106194690265486,226.0,Unpredictable
58,everyone,128.0,0.5663716814159292,98.0,0.4336283185840708,226.0,Unpredictable
140,support,136.0,0.6017699115044248,90.0,0.39823008849557523,226.0,Unpredictable
746,stop,123.0,0.5540540540540541,99.0,0.44594594594594594,222.0,Unpredictable
369,never,132.0,0.6,88.0,0.4,220.0,Unpredictable
883,post,138.0,0.6301369863013698,81.0,0.3698630136986301,219.0,Unpredictable
184,play,142.0,0.6513761467889908,76.0,0.3486238532110092,218.0,Unpredictable
159,give,113.0,0.5207373271889401,104.0,0.4792626728110599,217.0,Unpredictable
125,morning,130.0,0.6103286384976526,83.0,0.38967136150234744,213.0,Unpredictable
189,youtube,132.0,0.6226415094339622,80.0,0.37735849056603776,212.0,Unpredictable
940,virus,98.0,0.46445497630331756,113.0,0.5355450236966824,211.0,Unpredictable
208,futes,154.0,0.7298578199052133,57.0,0.27014218009478674,211.0,Unpredictable
936,already,99.0,0.47368421052631576,110.0,0.5263157894736842,209.0,Unpredictable
36,work,118.0,0.5673076923076923,90.0,0.4326923076923077,208.0,Unpredictable
1496,dump,30.0,0.14563106796116504,176.0,0.8543689320388349,206.0,Bearish
930,follow,137.0,0.6650485436893204,69.0,0.33495145631067963,206.0,Unpredictable
188,free,166.0,0.8097560975609757,39.0,0.1902439024390244,205.0,Bullish
1033,show,95.0,0.4634146341463415,110.0,0.5365853658536586,205.0,Unpredictable
629,economy,70.0,0.3431372549019608,134.0,0.6568627450980392,204.0,Unpredictable
220,bank,104.0,0.52,96.0,0.48,200.0,Unpredictable
565,try,109.0,0.5477386934673367,90.0,0.45226130653266333,199.0,Unpredictable
248,share,140.0,0.7070707070707071,58.0,0.29292929292929293,198.0,Unpredictable
190,watchv,119.0,0.6102564102564103,76.0,0.38974358974358975,195.0,Unpredictable
1299,point,100.0,0.5154639175257731,94.0,0.4845360824742268,194.0,Unpredictable
378,ready,121.0,0.6335078534031413,70.0,0.36649214659685864,191.0,Unpredictable
1059,biden,95.0,0.5053191489361702,93.0,0.4946808510638298,188.0,Unpredictable
532,hit,104.0,0.5531914893617021,84.0,0.44680851063829785,188.0,Unpredictable
529,test,103.0,0.5508021390374331,84.0,0.44919786096256686,187.0,Unpredictable
201,shit,61.0,0.3279569892473118,125.0,0.6720430107526881,186.0,Unpredictable
306,friday,113.0,0.6075268817204301,73.0,0.3924731182795699,186.0,Unpredictable
167,best,122.0,0.6594594594594595,63.0,0.34054054054054056,185.0,Unpredictable
70,swing,166.0,0.9021739130434783,18.0,0.09782608695652174,184.0,Bullish
9,tell,91.0,0.4945652173913043,93.0,0.5054347826086957,184.0,Unpredictable
237,nasdaq,78.0,0.43575418994413406,101.0,0.5642458100558659,179.0,Unpredictable
741,munity,174.0,0.9720670391061452,5.0,0.027932960893854747,179.0,Bullish
334,since,97.0,0.5449438202247191,81.0,0.4550561797752809,178.0,Unpredictable
1135,hard,80.0,0.449438202247191,98.0,0.550561797752809,178.0,Unpredictable
129,report,95.0,0.536723163841808,82.0,0.4632768361581921,177.0,Unpredictable
170,huge,99.0,0.559322033898305,78.0,0.4406779661016949,177.0,Unpredictable
394,rally,111.0,0.6306818181818182,65.0,0.3693181818181818,176.0,Unpredictable
690,level,98.0,0.56,77.0,0.44,175.0,Unpredictable
197,always,110.0,0.632183908045977,64.0,0.367816091954023,174.0,Unpredictable
202,real,88.0,0.5057471264367817,86.0,0.4942528735632184,174.0,Unpredictable
1041,bubble,29.0,0.1676300578034682,144.0,0.8323699421965318,173.0,Bearish
735,feel,104.0,0.6046511627906976,68.0,0.3953488372093023,172.0,Unpredictable
1109,mean,91.0,0.5321637426900585,80.0,0.4678362573099415,171.0,Unpredictable
22,pay,84.0,0.49122807017543857,87.0,0.5087719298245614,171.0,Unpredictable
777,love,101.0,0.5906432748538012,70.0,0.4093567251461988,171.0,Unpredictable
50,buying,95.0,0.5588235294117647,75.0,0.4411764705882353,170.0,Unpredictable
733,continue,93.0,0.5502958579881657,76.0,0.44970414201183434,169.0,Unpredictable
748,alert,146.0,0.874251497005988,21.0,0.12574850299401197,167.0,Bullish
68,gain,109.0,0.6566265060240963,57.0,0.3433734939759036,166.0,Unpredictable
894,may,77.0,0.463855421686747,89.0,0.536144578313253,166.0,Unpredictable
104,might,89.0,0.536144578313253,77.0,0.463855421686747,166.0,Unpredictable
293,world,91.0,0.5515151515151515,74.0,0.4484848484848485,165.0,Unpredictable
51,ath,114.0,0.6951219512195121,50.0,0.3048780487804878,164.0,Unpredictable
314,number,83.0,0.51875,77.0,0.48125,160.0,Unpredictable
277,first,80.0,0.5,80.0,0.5,160.0,Unpredictable
2109,death,58.0,0.36477987421383645,101.0,0.6352201257861635,159.0,Unpredictable
